kod,pozycja
1002332,3627
1002333,3628
1002334,3629
1002335,3630
1002336,3631
1002337,3632
1002338,3633
1002339,3634
1002340,3635
1002341,3636
1002342,3637
1002343,3638
1002344,3639
1002345,2201
1002346,2335
1002347,3640
1002348,3641
1002349,3642
1002350,2202
1002351,3643
1002352,3644
1002353,3645
1002354,2269
1002355,3646
1002356,3647
1002357,3648
1002358,3649
1002359,3650
1002360,2374
1002361,3651
1002362,3652
1002363,3653
1002364,3654
1002365,3655
1002366,3656
1002367,3657
1002368,3658
1002369,1037
1002370,2236
1002371,3659
1002372,3660
1002373,3661
1002374,3662
1002375,3663
1002376,3664
1002377,3665
1002378,3666
1002379,3667
1002380,3668
1002381,3669
1002382,3670
1002383,3671
1002384,3672
1002385,3673
1002386,3674
1002387,3675
1002388,3676
1002389,3677
1002390,3678
1002391,3679
1002392,3680
1002393,1036
1002394,3681
1002395,3682
1002396,2375
1002397,3683
1002398,3684
1002399,3685
1002400,3686
1002401,3687
1002402,3688
1002403,2232
1002404,2203
1002405,3689
1002406,3690
1002407,3691
1002408,3692
1002409,3693
1002410,2204
1002411,3694
1002412,3695
1002413,3696
1002414,3697
1002415,3698
1002416,3699
1002417,3700
1002418,3701
1002419,3702
1002420,3703
1002421,3704
1002422,3705
1002423,3706
1002424,3707
1002425,3708
1002426,2219
1002427,3709
1002428,3710
1002429,3711
1002430,3712
1002431,3713
1002432,2235
1002433,3714
1002434,3715
1002435,3716
1002436,3717
1002437,3718
1002438,3719
1002439,2205
1002440,3720
1002441,3721
1002442,3722
1002443,3723
1002444,3724
1002445,2324
1002446,3725
1002447,3726
1002448,3727
1002449,3728
1002450,3729
1002451,3730
1002452,3731
1002453,3732
1002454,3733
1002455,3734
1002456,3735
1002457,3736
1002458,3737
1002459,3738
1002460,3739
1002461,3740
1002462,3741
1002463,3742
1002464,2356
1002465,3743
1002466,3744
1002467,3745
1002468,3746
1002469,3747
1002470,2357
1002471,3748
1002472,3749
1002473,3750
1002474,3751
1002475,3752
1002476,3753
1002477,3754
1002478,3755
1002479,3756
1002480,3757
1002481,3758
1002482,3759
1002483,3760
1002484,3761
1002485,3762
1002486,3763
1002487,3764
1002488,3765
1002489,3766
1002490,3767
1002491,3768
1002492,3769
1002493,3770
1002494,3771
1002495,3772
1002496,3773
1002497,3774
1002498,3775
1002499,3776
1002500,3777
1002501,2283
1002502,2284
1002503,3778
1002504,3779
1002505,3780
1002506,3781
1002507,3782
1002508,3783
1002509,3784
1002510,3785
1002511,3786
1002512,3787
1002513,3788
1002514,3789
1002515,3790
1002516,3791
1002517,1030
1002518,3792
1002519,3793
1002520,3794
1002521,3795
1002522,3796
1002523,3797
1002524,3798
1002525,3799
1002526,3800
1002527,3801
1002528,3802
1002529,3803
1002530,3804
1002531,3805
1002532,3806
